number,ref,XGB,CNN,RF,SVM,GWC
1,0.7694,0.791498661,0.79601693,0.779171815,0.783043604,14.73886753
2,0.826762717,0.822979748,0.82784712,0.81565294,0.824592364,17.76079612
3,0.84082085,0.831784904,0.83922184,0.834603084,0.837021105,20.90752792
4,0.833621486,0.829969585,0.82488734,0.823341076,0.813330355,16.53338992
5,0.809599657,0.803061247,0.81810939,0.802870744,0.796700583,15.16482893
6,0.778896137,0.779286146,0.78161091,0.789096845,0.810145076,16.49253783
7,0.839223947,0.836770058,0.84767973,0.833547131,0.82401009,16.59367433
8,0.824058914,0.815369725,0.83216363,0.817441761,0.800091992,15.98970396
9,0.88274145,0.878619254,0.88257951,0.874399607,0.850883209,27.27558406
10,0.844349593,0.855202794,0.84921145,0.848559275,0.842881317,26.50894432
11,0.844297729,0.841589153,0.85753572,0.857225407,0.866807032,33.75793334
12,0.907351556,0.890075979,0.88841134,0.838377629,0.863882656,33.04060875
13,0.746628835,0.828845143,0.76849455,0.801585059,0.777514318,37.74843665
14,0.740011037,0.795532227,0.74922305,0.773064915,0.762406936,20.51373783
15,0.660111321,0.649871492,0.69071484,0.716341166,0.688941424,15.04732249
16,0.671802045,0.715669632,0.67761946,0.709998053,0.71404724,7.879138925
17,0.740666989,0.730269203,0.7442202,0.73230142,0.717211458,3.820608681
18,0.721509772,0.707320035,0.69972587,0.702040202,0.72501382,3.737123384
19,0.761257143,0.759376504,0.70971692,0.738328152,0.721698305,4.039930454
20,0.658485579,0.683544278,0.67992252,0.696971828,0.720487561,4.18335132
21,0.683959288,0.720983744,0.70381325,0.693900962,0.7199184,4.030124466
22,0.651166972,0.699884593,0.70395178,0.707849631,0.689571506,3.033708436
23,0.66355178,0.686981301,0.69173783,0.679621827,0.682641908,3.735414675
24,0.750935946,0.783582127,0.72670543,0.726428586,0.723774934,3.639897171
25,0.627536952,0.650546105,0.68931139,0.665612873,0.651906191,3.747016423
26,0.767024123,0.753045428,0.71013278,0.725817501,0.726516342,4.187947874
27,0.795846967,0.787081726,0.76531374,0.768177372,0.781505613,4.460942721
28,0.621532466,0.624739053,0.67565352,0.659609118,0.625163687,4.35245565
29,0.7460313,0.727588673,0.7456401,0.743056421,0.735757485,4.925571458
30,0.653242653,0.65194746,0.72209877,0.690224064,0.700619665,4.911495105
31,0.821672187,0.829026496,0.7579155,0.788532308,0.816586815,7.585834559
32,0.824291685,0.797136903,0.79266721,0.807378306,0.779351699,11.95893588
33,0.869665372,0.83315593,0.87727827,0.897715776,0.816625553,21.99011239
34,0.858802931,0.843102515,0.86231673,0.851717312,0.835569658,26.86114541
35,0.84526452,0.85105437,0.85447598,0.852082745,0.860283573,31.21233742
36,0.880776121,0.877796173,0.87823802,0.876670151,0.849671665,27.81579
37,0.852516058,0.854634941,0.85723144,0.855831613,0.85595648,28.45986345
38,0.910139237,0.890945852,0.95579293,0.881113731,0.899385631,40.41104023
39,0.832453073,0.833610415,0.83050895,0.838492585,0.842860755,24.14718535
40,0.680537654,0.658741856,0.69643021,0.69561497,0.681357016,6.466136863
41,0.65845459,0.646572554,0.69604349,0.682790556,0.680404005,6.103653035
42,0.674046931,0.666926367,0.72698939,0.724494956,0.677345234,6.249981051
43,0.743130022,0.753440142,0.75124478,0.742057723,0.769112257,6.291248463
44,0.768874679,0.770972848,0.80122001,0.709323749,0.777262393,6.691171654
45,0.793980827,0.783747215,0.75363785,0.771599188,0.783074868,6.035239154
46,0.777388623,0.778426588,0.78737175,0.774879779,0.780963529,6.63327177
47,0.808319733,0.76399684,0.78061134,0.762013454,0.778993701,6.889002505
48,0.839017791,0.80330801,0.76418138,0.820875898,0.779937667,7.24064081
49,0.849343493,0.825796046,0.83031356,0.831749459,0.88756658,7.303929517
50,0.8751231,0.827413023,0.86128688,0.847057253,0.882018209,11.86523775
51,0.827193768,0.826490879,0.83710986,0.834023093,0.784240244,10.62824314
52,0.915736682,0.930419207,0.92021525,0.912457175,0.932140694,48.94291065
53,0.880367864,0.886350214,0.89777708,0.863668304,0.842899466,27.15858404
54,0.941778262,0.923132815,0.87400937,0.909917698,0.857448301,30.66921622
55,0.738569743,0.728863299,0.73564583,0.726709441,0.726242043,2.974702828
56,0.725986342,0.710898995,0.74411786,0.721441692,0.729367753,4.323942289
57,0.694058969,0.711148441,0.75093865,0.710970911,0.740274049,7.038057195
58,0.756129787,0.754736781,0.76220375,0.750774139,0.764550642,13.16354728
59,0.792883386,0.807091296,0.81392711,0.793180333,0.814788277,26.66086662
60,0.760114184,0.801783085,0.80522984,0.781283902,0.762557309,37.67798163
61,0.935894362,0.946141994,0.93215454,0.873129075,0.933633331,41.75255414
62,0.770036692,0.785027008,0.77418226,0.76757282,0.850131105,36.06693216
63,0.809115516,0.799352944,0.78465027,0.755172068,0.787488931,19.91110088
64,0.667115327,0.680865049,0.67652011,0.678006482,0.700218409,6.241433122
65,0.732776435,0.720401108,0.76352102,0.744949178,0.740898421,4.497485996
66,0.752236848,0.741544862,0.73887783,0.761769007,0.749523105,6.848436919
67,0.708656667,0.729160666,0.70606709,0.777153069,0.774959634,11.69479566
68,0.747146443,0.75949508,0.78972441,0.764728177,0.768191858,14.12169107
69,0.691791683,0.796439588,0.72778904,0.735661877,0.810441436,19.53725829
70,0.944501496,0.843472838,0.90237683,0.88114707,0.904829541,16.88720071
71,0.803684814,0.820377946,0.80030161,0.855455861,0.831327269,24.28821604
72,0.878389627,0.891571,0.908773,0.897982,0.893997,15.26618045
73,0.90921763,0.897766,0.904154,0.889626,0.883611,23.12782969
74,0.888965889,0.900418,0.89403,0.908558,0.906573,27.47107847
75,0.937077969,0.925626,0.932014,0.917486,0.914471,29.5627717
76,0.956734328,0.968186,0.961798,0.976326,0.971341,32.86695365
77,0.956004574,0.944553,0.950941,0.936413,0.933398,36.43128094
78,0.939376327,0.950828,0.94444,0.958968,0.952983,30.51738388
79,0.913800541,0.902349,0.908737,0.894209,0.904194,33.94875475
80,0.929060102,0.940512,0.934124,0.948652,0.943667,33.98305147
81,0.91911518,0.907663,0.914051,0.899523,0.892508,32.43733149
82,0.910461741,0.921914,0.915526,0.930054,0.910069,27.44918123
83,0.857455169,0.854274,0.827072,0.837863,0.832848,13.32320536
84,0.892062931,0.905244,0.922446,0.911655,0.91567,16.23669395
85,0.843989323,0.830808,0.813606,0.824397,0.827382,14.00445355
86,0.866783505,0.889965,0.897167,0.886376,0.878391,16.96961652
87,0.856761493,0.84358,0.826378,0.837169,0.833154,14.92044228
88,0.835957607,0.84741,0.841022,0.85555,0.863565,22.16689
89,0.872549073,0.861097,0.867485,0.852957,0.846942,31.08587368
,,,,,,
,,,,,,
,,,,,,
,,,,,,
