number,ref,XGB,CNN,RF,SVM,GWC
1,0.9682,0.967396796,1.020239234,1.003845116,1.006851341,14.73886753
2,1.006153504,1.0061481,1.01730144,1.017470547,1.022758493,17.76079612
3,1.050257096,1.05801332,1.039687753,1.061443568,1.054848225,20.90752792
4,1.152637318,1.153008103,1.145863533,1.144018121,1.119508509,16.53338992
5,1.037774019,1.040688992,1.020923615,1.052102866,1.011532835,15.16482893
6,1.040833224,1.039180636,1.02492702,1.045556326,1.020092038,16.49253783
7,1.023497627,1.028581142,1.019766569,1.030231987,1.032595553,16.59367433
8,1.036941362,1.036243677,1.016516685,1.032212912,1.022282722,15.98970396
9,1.07795401,1.076669455,1.086982012,1.085366963,1.07165176,27.27558406
10,1.067300206,1.068040252,1.059696794,1.065347417,1.069976094,26.50894432
11,1.103583742,1.091763139,1.094916701,1.100520354,1.102828679,33.75793334
12,1.097432614,1.102333426,1.097869039,1.10676966,1.107573712,33.04060875
13,1.125105038,1.12313056,1.10758388,1.10765204,1.131327209,37.74843665
14,1.061849626,1.071614633,0.995110214,1.113664691,1.020136923,20.51373783
15,1.32600191,1.307218194,1.308674693,1.237623944,1.32829674,15.04732249
16,0.847598926,0.848885,0.861305237,0.921426132,0.853761039,7.879138925
17,0.869109772,0.86591959,0.893402517,0.884469698,0.893236798,3.820608681
18,0.940862429,0.942839921,0.910668194,0.925469568,0.912350648,3.737123384
19,0.897594974,0.892597556,0.896393895,0.870956888,0.836848264,4.039930454
20,0.720041615,0.725292742,0.711782515,0.770174746,0.725923168,4.18335132
21,0.803982915,0.832899778,0.861264169,0.841442014,0.83538832,4.030124466
22,0.738598262,0.742513478,0.790364563,0.862118427,0.822136188,3.033708436
23,0.799393527,0.796421409,0.815306306,0.814993869,0.853300566,3.735414675
24,0.819595972,0.817764044,0.811825693,0.822538992,0.856885418,3.639897171
25,0.85681984,0.880496938,0.922174215,0.931926628,0.917133943,3.747016423
26,0.924364168,0.986025927,0.909126282,0.916972588,0.91515334,4.187947874
27,0.945763563,0.94629544,0.953495145,0.935047083,0.89046812,4.460942721
28,0.900814803,0.941986918,0.906551957,0.916628902,0.907076613,4.35245565
29,0.91443592,0.913085878,0.930426657,0.921099547,0.930145621,4.925571458
30,0.946866015,0.906747899,0.946367323,0.929119607,1.007988365,4.911495105
31,0.997140375,0.996810138,0.995336711,0.990263583,0.965808706,7.585834559
32,1.025522434,1.074328423,1.0350734,1.031269242,1.009821901,11.95893588
33,1.054080305,1.083863883,1.071205378,1.076904788,1.13949409,21.99011239
34,1.068045087,1.070345521,1.090065718,1.084677215,1.106435686,26.86114541
35,1.08113961,1.080658197,1.082336664,1.083523034,1.114532912,31.21233742
36,1.073505804,1.071652532,1.073095918,1.077524466,1.093319823,27.81579
37,1.076666587,1.076245785,1.076946139,1.073031842,1.062726536,28.45986345
38,1.110963663,1.092826824,1.137990832,1.140042656,1.144590116,40.41104023
39,1.055685977,1.043429494,1.055458069,1.062657582,1.049789604,24.14718535
40,0.763916433,0.801880896,0.793304563,0.820066767,0.737474849,6.466136863
41,0.74422995,0.785042076,0.760668337,0.869328396,0.80257611,6.103653035
42,0.786338837,0.874784529,0.830027282,0.83493941,0.76256961,6.249981051
